"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Molecular Sequence Numbers","Chemicals/CAS","Tradenames","Manufacturers","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Jiménez-Uribe, D.A.; Acevedo-Barrios, R.; Rubiano-Labrador, C.; Cariñanos, P.","Jiménez-Uribe, Dámaris A. (57211917175); Acevedo-Barrios, R. L. (56674579200); Rubiano-Labrador, Carolina (55649334800); Cariñanos, P. (6604035575)","57211917175; 56674579200; 55649334800; 6604035575","Relationship of airborne fungal spores to epidemiological data on respiratory disease: a systematic review","2026","Aerobiologia","42","1","11","","","0","10.1007/s10453-025-09890-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028108336&doi=10.1007%2Fs10453-025-09890-w&partnerID=40&md5=ba67f66840d8f1973fa19ab408b6723d","Facultad de Ciencias Básicas, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Department of Botany, Instituto Interuniversitario de Investigación del Sistema Tierra en Andalucía, Granada, Granada, Spain","Jiménez-Uribe, Dámaris A., Facultad de Ciencias Básicas, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Acevedo-Barrios, R. L., Facultad de Ciencias Básicas, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Rubiano-Labrador, Carolina, Facultad de Ciencias Básicas, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Cariñanos, P., Department of Botany, Instituto Interuniversitario de Investigación del Sistema Tierra en Andalucía, Granada, Granada, Spain","","","","","03935965","","AROBF","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105028108336"
"Saini, P.; Osorio, J.D.; Shah, M.P.; Patel, U.N.; Nelapudi, A.; Porto-Hernández, L.A.","Saini, Prashant (58622409300); Osorio, Julian D. (55538541600); Shah, Munjal Purnkant (58278698400); Patel, Umang N. (57384683400); Nelapudi, Akhil (59963703400); Porto-Hernández, Luis Ángel (57804909800)","58622409300; 55538541600; 58278698400; 57384683400; 59963703400; 57804909800","Nature-inspired lotus-shaped fins combined with hybrid nanoparticles and metal foam for high-performance latent heat thermal energy storage","2026","International Journal of Heat and Mass Transfer","255","","127897","","","2","10.1016/j.ijheatmasstransfer.2025.127897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017763405&doi=10.1016%2Fj.ijheatmasstransfer.2025.127897&partnerID=40&md5=34e1e8d6cc795a9630c3aa51f95f9ccc","Center for Energy Conversion & Storage Systems, National Laboratory of the Rockies, Golden, CO, United States; National Laboratory of the Rockies, Golden, CO, United States; College of Engineering, Computing and Applied Sciences, Clemson, SC, United States; Arquitectura & Diseño, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","Saini, Prashant, Center for Energy Conversion & Storage Systems, National Laboratory of the Rockies, Golden, CO, United States; Osorio, Julian D., National Laboratory of the Rockies, Golden, CO, United States; Shah, Munjal Purnkant, Center for Energy Conversion & Storage Systems, National Laboratory of the Rockies, Golden, CO, United States; Patel, Umang N., Center for Energy Conversion & Storage Systems, National Laboratory of the Rockies, Golden, CO, United States; Nelapudi, Akhil, College of Engineering, Computing and Applied Sciences, Clemson, SC, United States; Porto-Hernández, Luis Ángel, Arquitectura & Diseño, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","","","","","00179310","","IJHMA","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105017763405"
"Garcés-Prettel, M.; Mellado, C.; Ríos, A.D.D.L.; Blanco-Torres, Y.; Dávila, M.C.; Márquez, L.D.","Garcés-Prettel, Miguel (57193012270); Mellado, Claudia (24504020400); Ríos, Alfonso Dager De Los (60348635100); Blanco-Torres, Yessica (60348504100); Dávila, María Caballero (60348239000); Márquez, Leonardo Domínguez (60348761200)","57193012270; 24504020400; 60348635100; 60348504100; 60348239000; 60348761200","JOURNALISM IN CRISIS OR IN TIMES OF CRISIS? RETHINKING NEWS COVERAGE OF COVID-19 IN COLOMBIA; Jornalismo em crise ou em tempos de crise? Repensando a cobertura jornalística da covid-19 na Colômbia; ¿Periodismo en crisis o en tiempos de crisis? Repensando la cobertura informativa de la Covid-19 en Colombia","2026","Anuario Electronico de Estudios en Comunicacion Social Disertaciones","19","1","","","","0","10.12804/revistas.urosario.edu.co/disertaciones/a.15432","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028439729&doi=10.12804%2Frevistas.urosario.edu.co%2Fdisertaciones%2Fa.15432&partnerID=40&md5=68e0ee29e920458ea26d1f5338b5cb4a","Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Pontificia Universidad Católica de Valparaíso, Valparaiso, VS, Chile","Garcés-Prettel, Miguel, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Mellado, Claudia, Pontificia Universidad Católica de Valparaíso, Valparaiso, VS, Chile; Ríos, Alfonso Dager De Los, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Blanco-Torres, Yessica, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Dávila, María Caballero, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Márquez, Leonardo Domínguez, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","","","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028439729"
"Perez-Navarro, J.D.; Sierra-Porta, D.","Perez-Navarro, Juan (59484331300); Sierra-Porta, D. (57191333650)","59484331300; 57191333650","DERIVATIVE-ALIGNED ANTICIPATION OF FORBUSH DECREASES FROM ENTROPY AND FRACTAL MARKERS","2026","Open Journal of Astrophysics","9","","","","","0","10.33232/001c.157585","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030266202&doi=10.33232%2F001c.157585&partnerID=40&md5=476c631622fd216a391d003d9253d1c3","Escuela de Transformación Digital, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","Perez-Navarro, Juan, Escuela de Transformación Digital, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Sierra-Porta, D., Escuela de Transformación Digital, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","","","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105030266202"
"Mora, J.C.; Marrugo-Salas, L.","Mora, José Carrasco (60381448100); Marrugo-Salas, Lina Margarita (57392556500)","60381448100; 57392556500","Integrating defense and sustainability: A strategic analysis of the Colombian national navy in terms of sustainable development goals; INTEGRAÇÃO DEFESA E SUSTENTABILIDADE: UMA ANÁLISE ESTRATÉGICA DA MARINHA NACIONAL COLOMBIANA EM TERMOS DE OBJETIVOS DE DESENVOLVIMENTO SUSTENTÁVEL; INTEGRANDO DEFENSA Y SOSTENIBILIDAD: UN ANÁLISIS ESTRATÉGICO DE LA ARMADA NACIONAL COLOMBIANA EN CLAVE DE OBJETIVOS DE DESARROLLO SOSTENIBLE","2026","Relacoes Internacionais no Mundo Atual","1","51","","92","119","0","10.21902/Revrima.v1i51.8018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029861079&doi=10.21902%2FRevrima.v1i51.8018&partnerID=40&md5=b57211e8f101537ac8e1ccfb4b04681b","Armada República de Colombia, Colombia; Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","Mora, José Carrasco, Armada República de Colombia, Colombia; Marrugo-Salas, Lina Margarita, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","","","","","","","","Article","Final","","Scopus","2-s2.0-105029861079"
"Melendez-Villadiego, M.; Huerta, M.K.; Manzur-Urueta, J.; Gonzalez, O.S.; Oliveros-Corredor, V.; Viloria-Nuñez, C.; Rueda-Delgado, D.","Melendez-Villadiego, Mateo (59414667500); Huerta, Mónica Karel (8845369100); Manzur-Urueta, Juan D. (59413807400); Gonzalez, Orlando Sierra (60380257400); Oliveros-Corredor, Valeria (59414667600); Viloria-Nuñez, Cesar (35788581800); Rueda-Delgado, Diana (57196194273)","59414667500; 8845369100; 59413807400; 60380257400; 59414667600; 35788581800; 57196194273","Recycle AId: Training an Artificial Intelligence Model Based on Computer Vision for Solid Waste Classification","2026","IEEE Access","","","","","","0","10.1109/ACCESS.2026.3662988","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029819163&doi=10.1109%2FACCESS.2026.3662988&partnerID=40&md5=3e630cc1d3db0e80b473c00eb024b9f7","Department of Electrical and Electronic Engineering, Universidad del Norte, Barranquilla, Atlantico, Colombia; Escuela de Investigación, Universidad Estatal de Milagro, Milagro, Guayas, Ecuador; School of Digital Transformation, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","Melendez-Villadiego, Mateo, Department of Electrical and Electronic Engineering, Universidad del Norte, Barranquilla, Atlantico, Colombia; Huerta, Mónica Karel, Escuela de Investigación, Universidad Estatal de Milagro, Milagro, Guayas, Ecuador; Manzur-Urueta, Juan D., Department of Electrical and Electronic Engineering, Universidad del Norte, Barranquilla, Atlantico, Colombia; Gonzalez, Orlando Sierra, Department of Electrical and Electronic Engineering, Universidad del Norte, Barranquilla, Atlantico, Colombia; Oliveros-Corredor, Valeria, Department of Electrical and Electronic Engineering, Universidad del Norte, Barranquilla, Atlantico, Colombia; Viloria-Nuñez, Cesar, School of Digital Transformation, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Rueda-Delgado, Diana, Department of Electrical and Electronic Engineering, Universidad del Norte, Barranquilla, Atlantico, Colombia","","","","","","","","Article","aip","All Open Access; Gold Open Access","Scopus","2-s2.0-105029819163"
"Garcés-Prettel, M.; Barredo-Ibáñez, D.; Vázquez-Miraz, P.; Santoya-Montes, Y.","Garcés-Prettel, Miguel (57193012270); Barredo-Ibáñez, Daniel (56925486000); Vázquez-Miraz, Pedro (57196040759); Santoya-Montes, Yanin (57216345199)","57193012270; 56925486000; 57196040759; 57216345199","Mental health in university students: exploring the influence of family communication and age on youth suicide risk","2026","Journal of Communication in Healthcare","","","","","","0","10.1080/17538068.2026.2623322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029346081&doi=10.1080%2F17538068.2026.2623322&partnerID=40&md5=3fa74b3abf68f5d20c55a1b6d29bba22","Social Communication Department, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Department of Journalism I, Universidad de Sevilla, Sevilla, Seville, Spain; Psychology Program, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Department of Education, Universidad de Cádiz, Cadiz, Cadiz, Spain","Garcés-Prettel, Miguel, Social Communication Department, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Barredo-Ibáñez, Daniel, Department of Journalism I, Universidad de Sevilla, Sevilla, Seville, Spain; Vázquez-Miraz, Pedro, Psychology Program, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Santoya-Montes, Yanin, Department of Education, Universidad de Cádiz, Cadiz, Cadiz, Spain","","","","","17538068","","","Article","aip","","Scopus","2-s2.0-105029346081"
"Blanco-Torres, Y.; Abitbol, P.; León, D.C.R.; García-Padilla, D.","Blanco-Torres, Yessica (60348504100); Abitbol, Pablo (58145499200); León, Diana Carolina Rubio (56491243500); García-Padilla, Dennys (58145290800)","60348504100; 58145499200; 56491243500; 58145290800","Deliberative Assemblies on Mental Health in Rural Communities Affected by Armed Conflict: An Assessment of Deliberative Quality in Montes de María, Colombia; Assembleias deliberativas sobre saúde mental em comunidades rurais afetadas pelo conflito armado: uma avaliação da qualidade deliberativa em Montes de María, Colômbia; Asambleas deliberativas sobre salud mental en comunidades rurales afectadas por el conflicto armado: una evaluación de la calidad deliberativa en Montes de María, Colombia","2026","Revista de Estudios Sociales","2026-January-March","95","","153","177","0","10.7440/res95.2026.08","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029263427&doi=10.7440%2Fres95.2026.08&partnerID=40&md5=6bcd3f354ca80d14656239c3a8b4851b","Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Universität Witten/Herdecke, Witten, Nordrhein-Westfalen, Germany; Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Universidad de Antioquia, Medellin, Antioquia, Colombia; Pontificia Universidad Javeriana, Bogota, Distrito Capital, Colombia; Departamento de Psicología en la misma institución, Colombia","Blanco-Torres, Yessica, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Abitbol, Pablo, Universität Witten/Herdecke, Witten, Nordrhein-Westfalen, Germany, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; León, Diana Carolina Rubio, Universidad de Antioquia, Medellin, Antioquia, Colombia, Pontificia Universidad Javeriana, Bogota, Distrito Capital, Colombia; García-Padilla, Dennys, Pontificia Universidad Javeriana, Bogota, Distrito Capital, Colombia, Departamento de Psicología en la misma institución, Colombia","","","","","0123885X","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105029263427"
"Valderrama-Orbegozo, L.J.; Ramírez-Lasprilla, L.J.; Arce-Leonel, D.E.; Tesfamariam-Ortega, M.R.; Fortich-Pérez, D.J.","Valderrama-Orbegozo, Laura Juliana (60240596600); Ramírez-Lasprilla, Laura Julieth (60241018400); Arce-Leonel, Diana Estefanny (60240330100); Tesfamariam-Ortega, Michell Rezene (60241160200); Fortich-Pérez, David J. (57201036449)","60240596600; 60241018400; 60240330100; 60241160200; 57201036449","Corrigendum to “AderVax: Factors related to the acceptance or rejection of the COVID-19 vaccine in 8 cities in Colombia for the development of an intervention”(Vaccine: X, (2026), 28, C, (100767), (S2590136225001615), 10.1016/j.jvacx.2025.100767)","2026","Vaccine: X","","","100788","","","0","10.1016/j.jvacx.2026.100788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029250747&doi=10.1016%2Fj.jvacx.2026.100788&partnerID=40&md5=ed9d7a0787d045af2d997ac68e5e74dd","Centro de Estudios en Infectología Pediátrica, Cali, Valle del Cauca, Colombia; Faculty of Social Sciences and Humanities, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","Valderrama-Orbegozo, Laura Juliana, Centro de Estudios en Infectología Pediátrica, Cali, Valle del Cauca, Colombia; Ramírez-Lasprilla, Laura Julieth, Centro de Estudios en Infectología Pediátrica, Cali, Valle del Cauca, Colombia; Arce-Leonel, Diana Estefanny, Centro de Estudios en Infectología Pediátrica, Cali, Valle del Cauca, Colombia; Tesfamariam-Ortega, Michell Rezene, Centro de Estudios en Infectología Pediátrica, Cali, Valle del Cauca, Colombia; Fortich-Pérez, David J., Faculty of Social Sciences and Humanities, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","","","","","25901362","","","Erratum","aip","All Open Access; Gold Open Access","Scopus","2-s2.0-105029250747"
"León, D.C.R.; Cano-Sierra, L.; Reyes-Rivera, M.-J.; Abitbol, P.; García-Padilla, D.; Forero-García, S.L.; Lopez-Lopez, W.","León, Diana Carolina Rubio (56491243500); Cano-Sierra, Laura (59360499800); Reyes-Rivera, Maria Juliana (59361500800); Abitbol, Pablo (58145499200); García-Padilla, Dennys (58145290800); Forero-García, Sara Lucia (59360833800); Lopez-Lopez, Wilson (58547918000)","56491243500; 59360499800; 59361500800; 58145499200; 58145290800; 59360833800; 58547918000","Social determinants of mental health in armed conflict-Affected municipalities","2026","Psychosocial Intervention","35","","e260809","","","0","10.5093/pi2026a1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028921643&doi=10.5093%2Fpi2026a1&partnerID=40&md5=a14f58ff1badc8b19b0efbb92b1b5a34","Psychology and Health Research Group, Pontificia Universidad Javeriana, Bogota, Distrito Capital, Colombia; Social Ties and Peace Cultures Research Group, Pontificia Universidad Javeriana, Bogota, Distrito Capital, Colombia; Regional Group of Historic Memory, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","León, Diana Carolina Rubio, Psychology and Health Research Group, Pontificia Universidad Javeriana, Bogota, Distrito Capital, Colombia; Cano-Sierra, Laura, Social Ties and Peace Cultures Research Group, Pontificia Universidad Javeriana, Bogota, Distrito Capital, Colombia; Reyes-Rivera, Maria Juliana, Social Ties and Peace Cultures Research Group, Pontificia Universidad Javeriana, Bogota, Distrito Capital, Colombia; Abitbol, Pablo, Regional Group of Historic Memory, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; García-Padilla, Dennys, Psychology and Health Research Group, Pontificia Universidad Javeriana, Bogota, Distrito Capital, Colombia; Forero-García, Sara Lucia, Social Ties and Peace Cultures Research Group, Pontificia Universidad Javeriana, Bogota, Distrito Capital, Colombia; Lopez-Lopez, Wilson, Social Ties and Peace Cultures Research Group, Pontificia Universidad Javeriana, Bogota, Distrito Capital, Colombia","","","","","11320559","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105028921643"
"Ospino, M.T.; Marbello-Peña, H.; Sierra-Porta, D.","Ospino, Mairene Tobón (60357224000); Marbello-Peña, Humberto (59325343900); Sierra-Porta, D. (57191333650)","60357224000; 59325343900; 57191333650","A Global and Hemispheric Analysis of the Relationship between Environmental Sustainability and Economic Inequality","2026","Ecology, Economy and Society","9","1","","87","119","0","10.37773/ees.v9i1.1691","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028891498&doi=10.37773%2Fees.v9i1.1691&partnerID=40&md5=a43ef172d817d522e9d2fac7f034b54e","Escuela de Trabajo Social, Universidad Industrial de Santander, Bucaramanga, Santander, Colombia; Escuela de Transformación Digital, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Escuela de Transformación Digital, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","Ospino, Mairene Tobón, Escuela de Trabajo Social, Universidad Industrial de Santander, Bucaramanga, Santander, Colombia; Marbello-Peña, Humberto, Escuela de Transformación Digital, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Sierra-Porta, D., Escuela de Transformación Digital, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","","","","","25816152","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105028891498"
"Moreno-Bohorquez, E.; Arias Tapia, M.J.; Jaramillo, A.F.","Moreno-Bohorquez, Elizabeth (59919102900); Arias Tapia, Mary Judith (57219403758); Jaramillo, Andrés Felipe (56927920300)","59919102900; 57219403758; 56927920300","Recent Advances in Thermoplastic Starch (TPS) and Biodegradable Polyester Blends: A Review of Compatibilization Strategies and Bioactive Functionalities","2026","Polymers","18","2","289","","","0","10.3390/polym18020289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028658534&doi=10.3390%2Fpolym18020289&partnerID=40&md5=ce9fd6fdaf8d42dfb95a7ba25a761f99","Chemical Engineering Program, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Department of Mechanical Engineering, Universidad de Córdoba, Monteria, Monteria, Colombia; Department of Mechanical Engineering, Universidad de la Frontera, Temuco, AR, Chile","Moreno-Bohorquez, Elizabeth, Chemical Engineering Program, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Arias Tapia, Mary Judith, Chemical Engineering Program, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Jaramillo, Andrés Felipe, Department of Mechanical Engineering, Universidad de Córdoba, Monteria, Monteria, Colombia, Department of Mechanical Engineering, Universidad de la Frontera, Temuco, AR, Chile","","","","","","","","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105028658534"
"Cohen-Manrique, C.S.; Rodríguez-Manrique, J.A.; Burbano-Bustos, A.F.; Castro-Rodríguez, J.A.","Cohen-Manrique, Carlos (57203340249); Rodríguez-Manrique, Jhonatan Andrés (57203344197); Burbano-Bustos, Andrea F. (57219909907); Castro-Rodríguez, Javier Andrés (60349613000)","57203340249; 57203344197; 57219909907; 60349613000","Analysis of seasonal changes in vegetation cover in the La Caimanera marsh (Colombia) using remote sensing and satellite sensor imagery","2026","F1000Research","14","","748","","","0","10.12688/f1000research.164770.2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028457342&doi=10.12688%2Ff1000research.164770.2&partnerID=40&md5=2d570ac84b5d3f10835d0dbb90896e66","Faculty of Engineering, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Engineering and Architecture, Corporación Universitaria del Caribe, Sincelejo, Sucre, Colombia","Cohen-Manrique, Carlos, Faculty of Engineering, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia, Engineering and Architecture, Corporación Universitaria del Caribe, Sincelejo, Sucre, Colombia; Rodríguez-Manrique, Jhonatan Andrés, Engineering and Architecture, Corporación Universitaria del Caribe, Sincelejo, Sucre, Colombia; Burbano-Bustos, Andrea F., Engineering and Architecture, Corporación Universitaria del Caribe, Sincelejo, Sucre, Colombia; Castro-Rodríguez, Javier Andrés, Engineering and Architecture, Corporación Universitaria del Caribe, Sincelejo, Sucre, Colombia","","chlorophyll a, 479-61-8","Python version 3.12","","20461402","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105028457342"
"Tejada-Tovar, C.; Villabona-Ortíz, Á.; Coronado-Hernández, O.E.; Haeckermann-Ruiz, E.; Méndez-Anillo, R.D.","Tejada-Tovar, Candelaria Nahir (57208003292); Villabona-Ortíz, Angel (57207986157); Coronado-Hernández, Oscar E. (57193337460); Haeckermann-Ruiz, Esmeralda (60339112000); Méndez-Anillo, Rafael D. (57903699900)","57208003292; 57207986157; 57193337460; 60339112000; 57903699900","Assessing Banana-Based Activated Carbon as a Biomaterial for the Adsorption of Drug Metabolites in Wastewater: Simulation of an Industrial-Scale Packed Column","2026","Processes","14","1","129","","","0","10.3390/pr14010129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027841808&doi=10.3390%2Fpr14010129&partnerID=40&md5=9c1801db6b59bd83472eefdd5606a331","Department of Chemical Engineering, Universidad de Cartagena, Cartagena, Bolivar, Colombia; Instituto de Hidráulica y Saneamiento Ambiental, Universidad de Cartagena, Cartagena, Bolivar, Colombia; Arquitectura & Diseño, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","Tejada-Tovar, Candelaria Nahir, Department of Chemical Engineering, Universidad de Cartagena, Cartagena, Bolivar, Colombia; Villabona-Ortíz, Angel, Department of Chemical Engineering, Universidad de Cartagena, Cartagena, Bolivar, Colombia; Coronado-Hernández, Oscar E., Instituto de Hidráulica y Saneamiento Ambiental, Universidad de Cartagena, Cartagena, Bolivar, Colombia; Haeckermann-Ruiz, Esmeralda, Department of Chemical Engineering, Universidad de Cartagena, Cartagena, Bolivar, Colombia; Méndez-Anillo, Rafael D., Arquitectura & Diseño, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia","","","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105027841808"
"Puerta-Guardo, F.A.; Cantillo-Orozco, A.S.; Castillo-Loaiza, J.L.; Narváez-Grisales, J.A.; Molina-Guerrero, C.J.","Puerta-Guardo, Fabio Andrés (60337637200); Cantillo-Orozco, Ana Susana (59454824700); Castillo-Loaiza, Jorge Leonardo (60337405500); Narváez-Grisales, Julián Andrés (60337637300); Molina-Guerrero, Camilo Jose (58753823300)","60337637200; 59454824700; 60337405500; 60337637300; 58753823300","Quality in Higher Education Institutions as a Transversal Tool in Institutional Accreditation: A Bibliometric Review","2026","European Journal of Educational Research","15","1","","19","38","0","10.12973/eu-jer.15.1.19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027751345&doi=10.12973%2Feu-jer.15.1.19&partnerID=40&md5=468f9e6d196e08792de2f930c1227a3e","Pontificia Universidad Javeriana, Cali, Cali, Valle del Cauca, Colombia; Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Centro de Comercio y Servicios del SENA Regional Bolívar, Bolivar, Colombia; Fundación Universitaria Tecnológico Comfenalco - Cartagena, Cartagena, Bolivar, Colombia","Puerta-Guardo, Fabio Andrés, Pontificia Universidad Javeriana, Cali, Cali, Valle del Cauca, Colombia; Cantillo-Orozco, Ana Susana, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Castillo-Loaiza, Jorge Leonardo, Centro de Comercio y Servicios del SENA Regional Bolívar, Bolivar, Colombia; Narváez-Grisales, Julián Andrés, Pontificia Universidad Javeriana, Cali, Cali, Valle del Cauca, Colombia; Molina-Guerrero, Camilo Jose, Fundación Universitaria Tecnológico Comfenalco - Cartagena, Cartagena, Bolivar, Colombia","","","","","","","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105027751345"
"Palencia Díaz, A.; Abuchar-Curi, A.M.; Fábregas Villegas, J.; Guillén-Rujano, R.; Parejo-García, M.; Velilla-Díaz, W.","Palencia Díaz, Argemiro (56801043600); Abuchar-Curi, Alfredo Miguel (58523557700); Fábregas Villegas, Jonathan (57353034200); Guillén-Rujano, Renny Jesús (57200856614); Parejo-García, Melissa (60329755900); Velilla-Díaz, Wilmer Segundo (57208803496)","56801043600; 58523557700; 57353034200; 57200856614; 60329755900; 57208803496","Design and Performance Evaluation of Double-Curvature Impellers for Centrifugal Pumps","2026","Applied Sciences (Switzerland)","16","1","180","","","0","10.3390/app16010180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027320140&doi=10.3390%2Fapp16010180&partnerID=40&md5=8556bacc6dd558450790e2215b9df4ab","Faculty of Engineering, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Industrial Engineering Program, Universidad Sergio Arboleda, Bogota, Colombia; Department of Mechanical Engineering, Universidad Austral de Chile, Valdivia, LR, Chile; Department of Mechanical Engineering, Universidad de La Serena, La Serena, CO, Chile","Palencia Díaz, Argemiro, Faculty of Engineering, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Abuchar-Curi, Alfredo Miguel, Faculty of Engineering, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia; Fábregas Villegas, Jonathan, Faculty of Engineering, Universidad Tecnológica de Bolívar, Cartagena, Bolivar, Colombia, Industrial Engineering Program, Universidad Sergio Arboleda, Bogota, Colombia; Guillén-Rujano, Renny Jesús, Department of Mechanical Engineering, Universidad Austral de Chile, Valdivia, LR, Chile; Parejo-García, Melissa, Department of Mechanical Engineering, Universidad de La Serena, La Serena, CO, Chile; Velilla-Díaz, Wilmer Segundo, Department of Mechanical Engineering, Universidad de La Serena, La Serena, CO, Chile","","","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105027320140"
